CTE, steer_value
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7599,-0.132527
0.7598,-0.132509
0.7597,-0.132492
0.7597,-0.132492
0.7595,-0.132457
0.7594,-0.132439
0.7592,-0.132404
0.759,-0.13237
0.7589,-0.132352
0.7586,-0.1323
0.7584,-0.132265
0.7582,-0.13223
0.7578,-0.13216
0.7576,-0.132125
0.7574,-0.132091
0.7569,-0.132003
0.7567,-0.131968
0.7564,-0.131916
0.7558,-0.131812
0.7555,-0.131759
0.7552,-0.131707
0.7546,-0.131602
0.7542,-0.131532
0.7538,-0.131463
0.7531,-0.131341
0.7527,-0.131271
0.7519,-0.131131
0.7515,-0.131062
0.7505,-0.130887
0.7496,-0.13073
0.7491,-0.130643
0.7486,-0.130556
0.7475,-0.130364
0.7469,-0.130259
0.7464,-0.130172
0.7451,-0.129945
0.7445,-0.129841
0.7438,-0.129719
0.7424,-0.129475
0.7417,-0.129352
0.7409,-0.129213
0.7393,-0.128934
0.7385,-0.128794
0.7368,-0.128498
0.7358,-0.128324
0.7349,-0.128167
0.7328,-0.1278
0.7318,-0.127626
0.7307,-0.127434
0.7284,-0.127033
0.7272,-0.126824
0.7259,-0.126597
0.7232,-0.126126
0.7219,-0.125899
0.7204,-0.125638
0.7174,-0.125115
0.7158,-0.124836
0.7124,-0.124243
0.7107,-0.123946
0.7089,-0.123632
0.7052,-0.122987
0.7032,-0.122638
0.6992,-0.12194
0.697,-0.121557
0.6949,-0.121191
0.6904,-0.120406
0.688,-0.119987
0.6856,-0.119569
0.6806,-0.118697
0.678,-0.118243
0.6753,-0.117772
0.6698,-0.116813
0.667,-0.116325
0.661,-0.115278
0.658,-0.114755
0.6548,-0.114197
0.6484,-0.113081
0.645,-0.112488
0.6416,-0.111895
0.6345,-0.110657
0.6308,-0.110012
0.6271,-0.109366
0.6232,-0.108686
0.6154,-0.107326
0.6113,-0.106611
0.6071,-0.105878
0.5986,-0.104396
0.5941,-0.103611
0.5896,-0.102826
0.5804,-0.101222
0.5756,-0.100385
0.5707,-0.0995301
0.5607,-0.0977861
0.5556,-0.0968966
0.5503,-0.0959723
0.5402,-0.0942109
0.5355,-0.0933912
0.5312,-0.0926413
0.5272,-0.0919437
0.5211,-0.0908798
0.5192,-0.0905485
0.5185,-0.0904264
0.5078,-0.0885603
0.5021,-0.0875662
0.4967,-0.0866245
0.4872,-0.0849677
0.4828,-0.0842003
0.4787,-0.0834853
0.4748,-0.0828051
0.4675,-0.081532
0.464,-0.0809216
0.4606,-0.0803286
0.4539,-0.0791602
0.4506,-0.0785846
0.4473,-0.0780091
0.4403,-0.0767883
0.4366,-0.076143
0.4329,-0.0754978
0.4252,-0.0741549
0.4213,-0.0734747
0.4172,-0.0727597
0.413,-0.0720272
0.4044,-0.0705274
0.4,-0.06976
0.3954,-0.0689578
0.386,-0.0673184
0.3812,-0.0664813
0.3763,-0.0656267
0.3712,-0.0647373
0.3609,-0.062941
0.3556,-0.0620166
0.3501,-0.0610574
0.339,-0.0591216
0.3333,-0.0581275
0.3274,-0.0570986
0.3217,-0.0561045
0.3097,-0.0540117
0.3036,-0.0529478
0.2974,-0.0518666
0.2847,-0.0496517
0.2782,-0.0485181
0.2716,-0.047367
0.2649,-0.0461986
0.2513,-0.0438267
0.2444,-0.0426234
0.2374,-0.0414026
0.223,-0.0388912
0.2157,-0.0376181
0.2083,-0.0363275
0.1933,-0.0337115
0.1858,-0.0324035
0.178,-0.0310432
0.1625,-0.02834
0.1547,-0.0269797
0.1467,-0.0255845
0.1387,-0.0241893
0.1225,-0.021364
0.1143,-0.0199339
0.1061,-0.0185038
0.0979,-0.0170738
0.0811,-0.0141438
0.0727,-0.0126789
0.0643,-0.0112139
0.0387,-0.00674928
0.0302,-0.00526688
0.013,-0.0022672
0.0045,-0.0007848
-0.0041,0.00071504
-0.0211,0.00367984
-0.0295,0.0051448
-0.038,0.0066272
-0.0464,0.00809216
-0.0632,0.0110221
-0.0715,0.0124696
-0.0797,0.0138997
-0.096,0.0167424
-0.1041,0.018155
-0.112,0.0195328
-0.1275,0.022236
-0.1352,0.0235789
-0.1427,0.0248869
-0.1573,0.0274331
-0.1645,0.0286888
-0.1714,0.0298922
-0.1782,0.0310781
-0.1913,0.0333627
