CTE, steer_value
0.7598,-1
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7599,-0.132779
0.7598,-0.132257
0.7597,-0.132239
0.7597,-0.132492
0.7596,-0.132222
0.7595,-0.132204
0.7593,-0.131917
0.7592,-0.132152
0.7589,-0.131595
0.7587,-0.131812
0.7585,-0.131777
0.7582,-0.131473
0.758,-0.13169
0.7576,-0.131115
0.7574,-0.131586
0.7569,-0.130741
0.7567,-0.131463
0.7561,-0.130349
0.7559,-0.131324
0.7552,-0.129939
0.7549,-0.130897
0.7542,-0.129765
0.7538,-0.130453
0.7534,-0.130383
0.7527,-0.129503
0.7522,-0.129921
0.7513,-0.128754
0.7509,-0.129947
0.7499,-0.128258
0.7494,-0.129433
0.7472,-0.124757
0.7452,-0.124913
0.7438,-0.126184
0.7431,-0.127829
0.7416,-0.125548
0.7408,-0.127176
0.7392,-0.124876
0.7383,-0.126487
0.7365,-0.123901
0.7355,-0.125746
0.7335,-0.122872
0.7324,-0.124953
0.7302,-0.121792
0.7291,-0.124378
0.7267,-0.120676
0.7241,-0.119718
0.7227,-0.122504
0.7199,-0.118481
0.7185,-0.121771
0.7154,-0.116938
0.7122,-0.116128
0.7105,-0.119619
0.707,-0.114463
0.7052,-0.118442
0.7015,-0.112999
0.6995,-0.116943
0.6955,-0.111195
0.6934,-0.115626
0.6891,-0.109322
0.6846,-0.108032
0.6822,-0.112916
0.6774,-0.106019
0.6749,-0.11139
0.6724,-0.110954
0.6671,-0.10296
0.6644,-0.109054
0.6559,-0.0929265
0.6499,-0.0981926
0.6469,-0.105244
0.6407,-0.0960831
0.6375,-0.1031
0.6343,-0.102542
0.6275,-0.092266
0.624,-0.0999881
0.617,-0.0899298
0.6133,-0.097617
0.6059,-0.086984
0.6021,-0.0954112
0.5943,-0.0839509
0.5903,-0.0928483
0.5863,-0.0921507
0.5779,-0.0795758
0.5736,-0.0891783
0.565,-0.076821
0.5607,-0.0869286
0.5566,-0.0867185
0.5493,-0.0773654
0.546,-0.0868899
0.541,-0.0817254
0.5394,-0.0900314
0.5387,-0.0921818
0.5349,-0.0836916
0.5282,-0.0752006
0.5194,-0.0683634
0.5155,-0.0800557
0.5119,-0.0801854
0.5054,-0.0717293
0.5024,-0.0800436
0.4997,-0.0803302
0.4944,-0.0728409
0.4919,-0.0794749
0.4871,-0.0728302
0.4848,-0.0787416
0.4825,-0.0783405
0.4778,-0.0714608
0.4754,-0.0768498
0.4703,-0.0691428
0.4677,-0.0750019
0.4651,-0.0745484
0.4595,-0.0659968
0.4566,-0.0723085
0.4508,-0.0639745
0.4478,-0.0705213
0.4447,-0.0697282
0.4384,-0.0605495
0.4351,-0.0675489
0.4284,-0.0577955
0.425,-0.065535
0.4216,-0.064942
0.4107,-0.0441036
0.4032,-0.0513806
0.3994,-0.0600604
0.3955,-0.0591277
0.3877,-0.0479199
0.3836,-0.0565473
0.3754,-0.0447648
0.3713,-0.0544022
0.3671,-0.0534172
0.3585,-0.0408074
0.3541,-0.050645
0.3452,-0.0377304
0.3407,-0.0480556
0.3362,-0.0472708
0.327,-0.0337988
0.3223,-0.0443416
0.3175,-0.043252
0.3079,-0.0294578
0.3031,-0.0407406
0.2982,-0.0396336
0.2883,-0.025282
0.2832,-0.0365126
0.2732,-0.0223961
0.2681,-0.0338791
0.263,-0.0329897
0.2528,-0.0183333
0.2476,-0.0300514
