CTE, steer_value
0.7598,-0.132835
0.7598,-0.13316
0.7598,-0.133486
0.7598,-0.133811
0.7598,-0.134136
0.7598,-0.134462
0.7598,-0.134787
0.7598,-0.135113
0.7598,-0.135438
0.7597,-0.135746
0.7596,-0.136054
0.7594,-0.136345
0.7592,-0.136635
0.7591,-0.136943
0.7588,-0.137216
0.7586,-0.137506
0.7583,-0.137778
0.7581,-0.138068
0.7577,-0.138323
0.7575,-0.138612
0.757,-0.13885
0.7568,-0.139139
0.7562,-0.139358
0.756,-0.139647
0.7553,-0.139849
0.755,-0.14012
0.7543,-0.140321
0.754,-0.140591
0.7532,-0.140775
0.7528,-0.141027
0.7519,-0.141192
0.7514,-0.141427
0.7505,-0.141592
0.75,-0.141826
0.7489,-0.141955
0.7471,-0.141961
0.7444,-0.141809
0.7437,-0.142005
0.7422,-0.142062
0.7414,-0.14224
0.7397,-0.14226
0.7388,-0.14242
0.737,-0.142421
0.736,-0.142562
0.7339,-0.14251
0.7327,-0.142615
0.7304,-0.142527
0.7292,-0.14263
0.7266,-0.142488
0.7252,-0.142554
0.7224,-0.142375
0.7209,-0.142422
0.7177,-0.142172
0.716,-0.142182
0.7125,-0.141877
0.7089,-0.141553
0.7069,-0.141507
0.705,-0.141477
0.7008,-0.141045
0.6987,-0.140978
0.6942,-0.140491
0.6895,-0.139966
0.6871,-0.139842
0.6846,-0.139699
0.6794,-0.139084
0.6767,-0.138903
0.6711,-0.138213
0.6652,-0.137469
0.6622,-0.13723
0.6559,-0.136412
0.6527,-0.136134
0.6494,-0.135836
0.6425,-0.134908
0.6389,-0.134554
0.6316,-0.133551
0.6278,-0.133158
0.624,-0.132762
0.616,-0.131631
0.6119,-0.131178
0.6034,-0.129954
0.599,-0.129443
0.5901,-0.128144
0.5854,-0.127575
0.5759,-0.126165
0.571,-0.125555
0.5661,-0.124943
0.5558,-0.123385
0.5505,-0.122696
0.5397,-0.121044
0.5342,-0.120313
0.5286,-0.119563
0.5179,-0.117919
0.5129,-0.117267
0.5082,-0.116665
0.4999,-0.115431
0.4966,-0.115069
0.4941,-0.114844
0.4921,-0.114706
0.4822,-0.113186
0.4757,-0.112256
0.4638,-0.11038
0.4583,-0.109617
0.448,-0.108012
0.4432,-0.107365
0.4385,-0.106733
0.4295,-0.105348
0.4251,-0.104762
0.4165,-0.103441
0.4122,-0.102868
0.4079,-0.102293
0.3992,-0.100946
0.3947,-0.100331
0.3902,-0.0997129
0.3808,-0.0982366
0.3759,-0.0975431
0.371,-0.0968475
0.3609,-0.0952406
0.3557,-0.0944861
0.3449,-0.0927503
0.3394,-0.0919365
0.3338,-0.0911029
0.3224,-0.0892528
0.3165,-0.0883594
0.3044,-0.0863796
0.2982,-0.0854261
0.292,-0.0844699
0.2792,-0.0823571
0.2726,-0.0813229
0.266,-0.0802858
0.2524,-0.0780221
0.2455,-0.0769239
0.2314,-0.0745639
0.2242,-0.0734043
0.2169,-0.0722241
0.202,-0.0697121
0.1945,-0.0684874
0.1869,-0.067242
0.1713,-0.0645948
0.1634,-0.063287
0.1555,-0.0619758
