CTE, steer_value
0.7598,-1
0.7598,-0.133023
0.7598,-0.13328
0.7598,-0.133537
0.7598,-0.133795
0.7598,-0.134052
0.7599,-0.134579
0.7598,-0.134313
0.7597,-0.134553
0.7596,-0.134793
0.7594,-0.134762
0.7593,-0.135254
0.7591,-0.135224
0.7589,-0.135446
0.7587,-0.135667
0.7585,-0.135889
0.7582,-0.135841
0.758,-0.136315
0.7576,-0.135997
0.7574,-0.136723
0.757,-0.136404
0.7567,-0.136861
0.7562,-0.136524
0.7559,-0.137233
0.7553,-0.136626
0.755,-0.137587
0.7543,-0.13671
0.7539,-0.137653
0.7531,-0.136758
0.7527,-0.137953
0.7518,-0.136788
0.7513,-0.137965
0.7504,-0.137052
0.7498,-0.137959
0.7487,-0.136758
0.7481,-0.138169
0.7455,-0.132917
0.7433,-0.133795
0.7418,-0.135552
0.741,-0.137431
0.7393,-0.135112
0.7374,-0.134525
0.7364,-0.136872
0.7344,-0.134247
0.7333,-0.136576
0.731,-0.133392
0.7298,-0.136207
0.7273,-0.132735
0.726,-0.135784
0.7232,-0.131753
0.7218,-0.135288
0.7187,-0.130698
0.7171,-0.134449
0.7138,-0.129822
0.7102,-0.128677
0.7084,-0.133148
0.7046,-0.127674
0.7026,-0.132108
0.6985,-0.126327
0.6963,-0.130976
0.6919,-0.124888
0.6896,-0.130023
0.6848,-0.123105
0.6823,-0.128707
0.6772,-0.121482
0.6718,-0.12001
0.6691,-0.126583
0.6634,-0.118238
0.6604,-0.124756
0.6543,-0.116086
0.6512,-0.123341
0.6447,-0.11384
0.6414,-0.121562
0.6345,-0.111483
0.631,-0.119671
0.6274,-0.119003
0.6199,-0.108057
0.6161,-0.116946
0.6082,-0.105421
0.6042,-0.114776
0.5959,-0.102672
0.5917,-0.112492
0.583,-0.0998099
0.5785,-0.109826
0.574,-0.109235
0.5646,-0.0954144
0.5598,-0.106382
0.55,-0.0922337
0.5451,-0.103936
0.5359,-0.0916554
0.5316,-0.103458
0.5276,-0.103696
0.5209,-0.0958866
0.5183,-0.105961
0.5166,-0.108112
0.516,-0.110959
0.5059,-0.0853815
0.495,-0.0816281
0.49,-0.0958194
0.4855,-0.0964614
0.477,-0.0850404
0.4731,-0.0961353
0.4693,-0.0958839
0.4622,-0.0864695
0.4587,-0.0951043
0.452,-0.0860088
0.4487,-0.0941701
0.4454,-0.0937453
0.4387,-0.0841403
0.4352,-0.0917571
0.428,-0.0813038
0.4243,-0.0896395
0.4206,-0.0891366
0.4128,-0.0775634
0.4088,-0.0865992
0.4006,-0.0746996
0.3963,-0.0839313
0.3877,-0.0717052
0.3833,-0.0816725
0.3788,-0.0807634
0.3696,-0.0674165
0.3648,-0.0778128
0.3552,-0.0641387
0.3502,-0.0750002
0.3452,-0.074245
0.3349,-0.0591795
0.3297,-0.0712617
0.3244,-0.0701947
0.3135,-0.0542598
0.3079,-0.0667698
0.2967,-0.0507769
0.2909,-0.0634988
0.2852,-0.0628538
0.2734,-0.0454859
0.2674,-0.0591749
0.2614,-0.058217
0.2491,-0.0402487
0.2428,-0.0543821
0.2365,-0.0533634
0.2237,-0.0347943
0.2172,-0.0496417
0.2042,-0.0310311
0.1977,-0.0463769
0.1911,-0.045038
0.1777,-0.0255911
0.1709,-0.041128
0.1573,-0.0216394
0.1505,-0.0376744
0.1436,-0.0362672
0.1297,-0.0162119
0.1227,-0.0324551
0.1157,-0.0312735
0.1017,-0.0111913
0.0945,-0.0271376
0.0876,-0.0267214
0.0733,-0.00556723
0.066,-0.0219914
0.0518,-0.00210999
0.0448,-0.0190844
0.0377,-0.0176064
0.0235,0.00278966
0.0163,-0.0136352
0.0022,0.00624562
-0.0049,-0.0101895
-0.0119,-0.00921716
-0.026,0.0111782
-0.033,-0.00551735
-0.0468,0.0140752
-0.0538,-0.00185579
-0.0606,-0.00115437
-0.0744,0.0189525
-0.0813,0.0027609
-0.0946,0.0212724
-0.1013,0.00581018
-0.1078,0.00647526
-0.1208,0.0251958
-0.1273,0.00996001
-0.1399,0.0276073
-0.1461,0.012578
-0.1582,0.0296393
-0.1642,0.0153387
-0.17,0.0159028
-0.1816,0.0326323
-0.1873,0.0187922
-0.1929,0.0195816
-0.2038,0.0349341
-0.2092,0.0220591
-0.2195,0.0363022
-0.2246,0.0241376
-0.2295,0.0245648
-0.2391,0.0381875
-0.2438,0.0267172
-0.2528,0.0392298
-0.2571,0.0281992
-0.2612,0.0284976
-0.2693,0.0401014
-0.2732,0.030269
-0.2804,0.0399521
-0.2839,0.031316
-0.2872,0.0314837
-0.2935,0.0402568
-0.2965,0.0325478
-0.302,0.0399217
-0.3046,0.0331557
-0.3093,0.0393825
-0.3114,0.0332891
-0.3134,0.0334915
-0.317,0.0382666
-0.3186,0.0336034
-0.3213,0.0369605
-0.3225,0.0334914
-0.3235,0.0332703
-0.3252,0.0354443
-0.3258,0.0328817
-0.3266,0.0336367
-0.3268,0.0322672
-0.3267,0.0316028
-0.3265,0.0314259
-0.3261,0.0309615
-0.3249,0.0288421
-0.3241,0.0298223
-0.3221,0.0265525
-0.3209,0.0284718
-0.3195,0.0278307
-0.3164,0.0231046
-0.3147,0.0264496
-0.3108,0.0203196
-0.3087,0.0246029
-0.3041,0.017591
-0.3016,0.0225596
-0.299,0.0219548
-0.2934,0.0135024
-0.2904,0.0196425
-0.2841,0.0103074
-0.2803,0.016052
-0.2708,9.43615e-05
-0.2652,0.00905496
-0.259,0.00654632
-0.245,-0.0155074
-0.2369,-0.00194236
-0.2193,-0.0289251
-0.2098,-0.0100584
-0.1998,-0.0129973
-0.1782,-0.045994
-0.1669,-0.0219008
-0.1446,-0.053516
-0.1334,-0.0273966
-0.1117,-0.0576558
-0.101,-0.0317127
-0.0801,-0.0610856
-0.0696,-0.0366332
-0.0594,-0.0376345
-0.039,-0.0669341
-0.0288,-0.0429482
-0.0091,-0.0703683
0.0005,-0.0465402
0.0191,-0.0725155
0.0283,-0.0503946
0.0371,-0.0509318
0.0547,-0.0762398
0.0635,-0.055576
0.08,-0.0779232
0.088,-0.0578856
0.1033,-0.0790214
0.1108,-0.0606719
0.1178,-0.0606701
0.1317,-0.0805613
0.1385,-0.0638666
0.1512,-0.0810301
0.1571,-0.0649422
0.1683,-0.080335
0.1737,-0.0666905
0.1787,-0.066613
0.1883,-0.0799659
0.1928,-0.0679385
0.2011,-0.079049
0.2048,-0.0681486
0.2083,-0.0683245
0.2147,-0.0768358
0.2176,-0.0685777
0.2226,-0.0748275
0.2248,-0.0682172
0.2283,-0.0721874
0.2298,-0.0674768
0.232,-0.0697064
0.2328,-0.0663897
0.2333,-0.0657984
0.2338,-0.0659647
0.2337,-0.0645113
0.2328,-0.0624131
0.2321,-0.0628746
0.2311,-0.0620209
0.2287,-0.0581447
0.2271,-0.0599625
0.2235,-0.0543603
0.2213,-0.0575865
0.2166,-0.0505276
0.2139,-0.0551791
0.2111,-0.0545097
0.205,-0.0451827
0.2016,-0.0514755
0.1946,-0.0412305
0.1907,-0.0484424
0.1869,-0.0480954
0.1786,-0.0353458
0.1742,-0.0444849
0.1652,-0.0313562
0.1606,-0.0417183
0.1558,-0.0404289
0.1459,-0.0258742
0.1408,-0.0371524
0.1305,-0.0222703
0.1251,-0.0337433
0.1198,-0.0331121
0.1088,-0.016838
0.1031,-0.0292613
0.0975,-0.0285701
0.0861,-0.0119661
0.0802,-0.0248518
0.0685,-0.00818949
0.0627,-0.0220967
0.0569,-0.0211044
0.0452,-0.00418173
0.0393,-0.0178111
0.0278,-0.00167488
0.0219,-0.0147933
0.0106,0.000808808
0.0055,-0.0139586
0.0037,-0.0219784
0.0151,-0.0573017
0.0289,-0.0657782
0.0204,-0.00799522
0.0146,-0.0138061
-0.0086,0.0341779
-0.0059,-0.0316885
0.0014,-0.0445771
0.0051,-0.0361341
0.0086,-0.0362424
0.0154,-0.0457661
0.0186,-0.0372404
0.0245,-0.0450952
0.0273,-0.0377653
0.0299,-0.0377238
0.0349,-0.0446676
0.0372,-0.0382638
0.0413,-0.0435378
0.0433,-0.0385988
0.0467,-0.0427426
0.0482,-0.038223
0.0495,-0.0379614
0.0519,-0.0411751
0.053,-0.0381023
0.0546,-0.0396623
0.0553,-0.0375306
0.0558,-0.0371317
0.0564,-0.0375079
0.0566,-0.036552
0.0566,-0.0360661
0.0564,-0.0355453
0.0557,-0.0341796
0.0551,-0.0343461
0.0545,-0.0342599
0.0529,-0.0314738
0.052,-0.0331019
0.0498,-0.0294526
0.0486,-0.0317847
0.0473,-0.0313215
0.0444,-0.0267908
0.0428,-0.0298087
0.0395,-0.0249541
0.0377,-0.0284404
0.0359,-0.0281386
0.0319,-0.0218968
0.0299,-0.0266081
0.0277,-0.0257288
0.0233,-0.0194144
0.021,-0.0243228
