CTE, steer_value
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7598,-0.132509
0.7596,-0.132474
0.7595,-0.132457
0.7593,-0.132422
0.7592,-0.132404
0.759,-0.13237
0.7588,-0.132335
0.7586,-0.1323
0.7583,-0.132248
0.7581,-0.132213
0.7578,-0.13216
0.7576,-0.132125
0.7571,-0.132038
0.7569,-0.132003
0.7564,-0.131916
0.7561,-0.131864
0.7555,-0.131759
0.7552,-0.131707
0.7546,-0.131602
0.7542,-0.131532
0.7535,-0.13141
0.7532,-0.131358
0.7524,-0.131219
0.7519,-0.131131
0.7511,-0.130992
0.7506,-0.130905
0.7497,-0.130748
0.7492,-0.13066
0.7481,-0.130469
0.7475,-0.130364
0.7464,-0.130172
0.7458,-0.130068
0.7446,-0.129858
0.7439,-0.129736
0.7425,-0.129492
0.7418,-0.12937
0.7403,-0.129108
0.7395,-0.128969
0.7378,-0.128672
0.7369,-0.128515
0.7351,-0.128201
0.7341,-0.128027
0.7321,-0.127678
0.731,-0.127486
0.7288,-0.127103
0.7276,-0.126893
0.7252,-0.126475
0.7239,-0.126248
0.7212,-0.125777
0.7198,-0.125533
0.7168,-0.12501
0.7136,-0.124452
0.712,-0.124173
0.7103,-0.123876
0.7068,-0.123266
0.705,-0.122952
0.7011,-0.122272
0.6992,-0.12194
0.695,-0.121208
0.6907,-0.120458
0.6885,-0.120074
0.6839,-0.119272
0.6815,-0.118854
0.6765,-0.117982
0.6739,-0.117528
0.6713,-0.117075
0.6659,-0.116133
0.6631,-0.115645
0.6573,-0.114633
0.6543,-0.11411
0.6482,-0.113046
0.645,-0.112488
0.6417,-0.111912
0.6351,-0.110761
0.6316,-0.110151
0.6246,-0.10893
0.6209,-0.108285
0.6134,-0.106977
0.6096,-0.106314
0.6057,-0.105634
0.5976,-0.104221
0.5935,-0.103506
0.5893,-0.102774
0.5807,-0.101274
0.5762,-0.100489
0.5672,-0.0989197
0.5625,-0.0981
0.5531,-0.0964606
0.5486,-0.0956758
0.5443,-0.0949259
0.5366,-0.093583
0.5333,-0.0930075
0.5283,-0.0921355
0.5269,-0.0918914
0.5265,-0.0918216
0.5167,-0.0901125
0.5115,-0.0892056
0.5068,-0.0883859
0.4981,-0.0868686
0.4942,-0.0861885
0.4905,-0.0855432
0.4837,-0.0843573
0.4804,-0.0837818
0.4743,-0.0827179
0.4714,-0.0822122
0.4685,-0.0817064
0.4628,-0.0807123
0.4599,-0.0802066
0.457,-0.0797008
0.4511,-0.0786718
0.448,-0.0781312
0.4449,-0.0775906
0.4384,-0.076457
0.435,-0.075864
0.4281,-0.0746606
0.4246,-0.0740502
0.421,-0.0734224
0.4135,-0.0721144
0.4097,-0.0714517
0.4058,-0.0707715
0.3978,-0.0693763
0.3937,-0.0686613
0.3853,-0.0671963
0.381,-0.0664464
0.3767,-0.0656965
0.3678,-0.0641443
0.3632,-0.0633421
0.3586,-0.0625398
0.3491,-0.060883
0.3443,-0.0600459
0.3394,-0.0591914
0.3294,-0.0574474
0.3243,-0.0565579
0.3139,-0.0547442
0.3086,-0.0538198
0.3033,-0.0528955
0.2925,-0.051012
0.2869,-0.0500354
0.2814,-0.0490762
0.2701,-0.0471054
0.2643,-0.0460939
0.2527,-0.0440709
0.2468,-0.0430419
0.2408,-0.0419955
0.2288,-0.0399027
0.2227,-0.0388389
0.2165,-0.0377576
0.2041,-0.035595
0.1978,-0.0344963
0.1915,-0.0333976
0.1788,-0.0311827
0.1724,-0.0300666
0.1659,-0.028933
0.1531,-0.0267006
0.1465,-0.0255496
0.1401,-0.0244334
0.127,-0.0221488
0.1203,-0.0209803
0.1072,-0.0186957
0.1007,-0.0175621
0.094,-0.0163936
0.0807,-0.0140741
0.0741,-0.012923
0.0608,-0.0106035
0.054,-0.0094176
0.0474,-0.00826656
0.0341,-0.00594704
0.0274,-0.00477856
0.0143,-0.00249392
0.0078,-0.00136032
0.0011,-0.00019184
-0.0119,0.00207536
-0.0183,0.00319152
-0.0249,0.00434256
-0.0375,0.00654
-0.0438,0.00763872
-0.0501,0.00873744
-0.0626,0.0109174
-0.0686,0.0119638
-0.0808,0.0140915
-0.0868,0.0151379
-0.0926,0.0161494
-0.1042,0.0181725
-0.11,0.019184
-0.1212,0.0211373
